path	50%_tile	95%_tile	100%_tile	mean
../data/fairface/fairface-img-margin125-trainval/train/6.jpg	0.6760535	2.550454499999998	4.17829	0.7708534366750002
../data/fairface/fairface-img-margin125-trainval/train/41.jpg	0.0331548	1.7938304999999994	2.78497	0.3134547764875
../data/fairface/fairface-img-margin125-trainval/train/56.jpg	0.7174555	2.4607779999999977	4.54873	0.8226495147
../data/fairface/fairface-img-margin125-trainval/train/80.jpg	0.7444655	2.5379984999999996	3.6051	0.913259531075
../data/fairface/fairface-img-margin125-trainval/train/83.jpg	1.0897999999999999	3.5095859999999965	4.75226	1.31823081865
../data/fairface/fairface-img-margin125-trainval/train/99.jpg	0.811373	2.2421444999999993	2.97292	0.9770943839499999
../data/fairface/fairface-img-margin125-trainval/train/102.jpg	1.35542	3.4522985	5.32257	1.4837182236250002
../data/fairface/fairface-img-margin125-trainval/train/110.jpg	1.12568	2.909362499999999	5.42026	1.263007231575
../data/fairface/fairface-img-margin125-trainval/train/117.jpg	1.292325	2.548880499999999	3.92717	1.368061211575
../data/fairface/fairface-img-margin125-trainval/train/118.jpg	-0.0899292	1.397873	3.40698	0.161458647225
../data/fairface/fairface-img-margin125-trainval/train/125.jpg	0.00804572	2.2805619999999953	3.59197	0.33136942464999997
../data/fairface/fairface-img-margin125-trainval/train/134.jpg	0.30040049999999996	2.2357584999999953	3.15763	0.5333517098249999
../data/fairface/fairface-img-margin125-trainval/train/145.jpg	0.7176745	2.435889999999999	3.166	0.8607724861
../data/fairface/fairface-img-margin125-trainval/train/154.jpg	0.03968415	2.893727499999996	4.99004	0.534412783875
../data/fairface/fairface-img-margin125-trainval/train/178.jpg	0.5177905	2.2244455	3.21017	0.767567769175
../data/fairface/fairface-img-margin125-trainval/train/184.jpg	-0.2561135	3.0247294999999976	4.66795	0.21454657604999997
../data/fairface/fairface-img-margin125-trainval/train/203.jpg	0.6637249999999999	1.4059904999999953	2.30416	0.6897655718025001
../data/fairface/fairface-img-margin125-trainval/train/234.jpg	-0.14564850000000001	1.6359579999999994	2.74194	0.12377268715000002
